id,Label,elevation,slope,aspect,ndvi_before,nbr_before,ndmi_before,evi_before,land_cover,temperature,wind_speed,precipitation,soil_moisture,distance_to_water,distance_to_builtup,distance_to_cropland,ndvi_after,nbr_after,dnbr,longitude,latitude
1_1001_0,1,219.0,5.0,224.0,0.74957037,0.42662662,0.14861383,0.31824625,10.0,29.172134,3.6978068,1.553131,0.12478447,2715.6216,108.16654,502.89163,0.11250391,-0.32342294,0.7500496,27.234325045561178,38.32266818897969
1_1003_0,1,309.0,11.0,186.0,0.3343574,0.12230837,-0.026340343,0.20633869,20.0,28.290949,4.9143434,1.3242773,0.092519365,5173.4126,123.69317,1804.245,0.14442036,0.013901609,0.10840677,26.960518546961538,38.19923966894167
1_1004_0,1,261.0,7.0,351.0,0.5716946,0.3489611,0.12884529,0.337375,20.0,29.321945,3.2674217,1.6616362,0.092908464,8688.044,724.9828,228.47319,0.3804731,0.21816364,0.13079746,27.5110959845984,37.95399959637704
1_1005_0,1,608.0,7.0,212.0,0.69527894,0.46840146,0.23755173,0.4296431,20.0,29.56344,3.107722,1.506164,0.11234418,8537.57,1980.2273,566.0389,0.6721162,0.4364109,0.031990554,27.45315464877268,37.94079436170048
1_1008_0,1,84.0,2.0,180.0,0.6099089,0.3922679,0.18631975,0.38054293,10.0,25.80458,9.37214,0.0,0.09962424,6539.7935,829.759,330.0,0.58539295,0.33590734,0.056360565,26.499952300793467,38.253677575159315
1_1014_0,1,227.0,6.0,192.0,0.79048043,0.5389027,0.3072426,0.6232464,10.0,29.876532,3.6942215,1.5641282,0.11131684,8927.811,268.32816,161.55495,0.7009156,0.4554599,0.083442815,27.344817825507874,37.771282267587125
1_1029_0,1,7.0,2.0,148.0,0.53692615,0.26346013,0.111512095,0.37499782,10.0,29.560339,3.5409033,1.1706274,0.091914095,4656.576,1822.3611,60.0,0.37022507,0.1803629,0.08309725,27.376887681150947,38.00250862171949
1_102_0,1,513.0,20.0,312.0,0.8058841,0.65205324,0.3992949,0.5106865,10.0,28.990576,3.9539373,1.2365004,0.09462786,7125.6787,1800.25,1726.76,0.8191506,0.62486,0.027193237,27.103081182551307,38.532604470878425
1_1031_0,1,253.0,27.0,29.0,0.79639417,0.5824206,0.32378882,0.48259494,10.0,28.712439,4.187401,1.4057499,0.102149405,5221.2065,2430.7407,2588.0107,0.78198,0.5328048,0.049615774,27.070741832322994,38.20382107689068
1_1033_0,1,355.0,17.0,296.0,0.7888691,0.5893014,0.33353016,0.40229884,10.0,28.623755,3.6677933,1.4654573,0.1269807,4421.5156,458.91174,295.46573,0.80487806,0.5314019,0.05789957,27.27906114671032,38.33344797238912
1_1036_0,1,20.0,1.0,270.0,0.4073276,0.20776817,0.061021857,0.27218613,10.0,29.026373,4.6508985,0.7956448,0.06946937,5775.0586,94.86833,30.0,0.32636845,0.11366955,0.09409862,27.04783479257796,38.534760427560315
1_1041_0,1,423.0,15.0,224.0,0.728403,0.43629143,0.21651337,0.42136908,10.0,27.002405,3.4355767,1.6700162,0.1134394,13765.293,416.77332,530.75415,0.67683405,0.38286895,0.053422466,27.45989201340359,38.333178477803884
1_1042_0,1,379.0,16.0,321.0,0.7107544,0.5028079,0.26305854,0.45318672,10.0,27.594223,5.692454,1.2064272,0.0752236,4125.7363,192.09373,1268.8972,0.6332692,0.4087312,0.09407676,26.892066922311642,38.27874057158625
1_1045_0,1,25.0,2.0,232.0,0.7674699,0.56213397,0.31569508,0.5538649,30.0,27.065668,7.904691,0.0,0.106678724,3037.2686,169.70563,67.08204,0.42584985,0.29028988,0.2718441,26.728753203658698,38.33021403736629
1_1048_0,1,68.0,1.0,90.0,0.3362092,-0.0062161777,-0.09743216,0.20808998,30.0,29.53804,4.159231,1.6023039,0.12302581,6666.7534,161.55495,60.0,0.21660149,-0.08161128,0.0753951,27.22677919717458,38.08039255685266
1_1049_0,1,151.0,11.0,289.0,0.54938084,0.31336406,0.076826215,0.32301027,10.0,25.80458,9.37214,0.0,0.09962424,7180.5986,150.0,641.3267,0.4088882,0.16342856,0.14993548,26.506150676253895,38.26068443437545
1_104_0,1,342.0,4.0,328.0,0.6593521,0.44265276,0.21313982,0.4522325,10.0,25.961014,9.197209,0.0,0.12506151,4949.2725,2556.345,1444.9913,0.58471334,0.38252944,0.06012331,26.552773239499686,38.245053748431765
1_1065_0,1,337.0,12.0,249.0,0.5947657,0.36357075,0.13818033,0.38243702,30.0,26.323328,8.711996,0.0,0.1046834,2400.1875,67.08204,632.8507,0.49631688,0.22285324,0.1407175,26.58619056806893,38.2881728820695
1_1066_0,1,18.0,3.0,23.0,0.3844156,0.16523954,0.05858988,0.28253263,40.0,29.962683,3.3138762,1.6462935,0.09504954,8323.852,152.97058,0.0,0.20219682,0.11371154,0.051528007,27.50489760913797,38.1386033872636
1_1067_0,1,324.0,5.0,308.0,0.33450738,0.18382224,0.043052677,0.26982024,10.0,27.3476,3.7124271,1.2556169,0.118106045,4412.346,30.0,339.41125,0.18174693,0.06573471,0.11808753,27.27825266295463,38.36201439842412
1_1070_0,1,314.0,4.0,285.0,0.3631194,0.25810683,0.10942147,0.30174157,10.0,28.623755,3.6677933,1.4654573,0.1269807,4630.5073,212.13203,108.16654,0.2195212,0.15050574,0.1076011,27.26262197701095,38.310540932644074
1_1071_0,1,595.0,6.0,203.0,0.6437536,0.4278989,0.20590083,0.39740115,10.0,27.884405,4.5716577,1.247612,0.100264944,8419.958,120.0,268.32816,0.515135,0.3072941,0.12060482,26.95674562276824,38.27712360407483
1_107_0,1,168.0,6.0,168.0,0.6030166,0.43893853,0.24654,0.3794609,10.0,28.290949,4.9143434,1.2036264,0.092519365,3744.3557,60.0,403.60873,0.6350648,0.41553926,0.023399284,27.004985153525467,38.195466744748366
1_1084_0,1,540.0,6.0,157.0,0.38613865,0.15593301,-0.015174356,0.25110376,30.0,26.732214,3.6469858,1.6565144,0.12120175,212.13203,120.0,152.97058,0.20827585,0.047619045,0.108313955,27.256693096135763,38.519938225372336
1_1086_0,1,88.0,24.0,113.0,0.55312693,0.32573208,0.12316138,0.34135193,10.0,25.961014,9.197209,0.0,0.12506151,210.0,212.13203,2206.173,0.4912638,0.24871983,0.07701225,26.62661475585432,38.18630392885035
1_1087_0,1,225.0,6.0,192.0,0.6997389,0.488,0.24321379,0.36835596,10.0,25.961014,9.197209,0.0,0.12506151,4191.0977,2906.9055,1081.6654,0.62027204,0.4172099,0.0707901,26.611523059081122,38.236429921704215
1_1088_0,1,44.0,6.0,168.0,0.43761435,0.28688446,0.14049022,0.33386442,40.0,30.450994,2.9015148,1.6552911,0.12334856,4121.371,364.96576,0.0,0.31102514,0.24595588,0.04092856,27.528882627223965,37.84269833267463
1_1092_0,1,2.0,2.0,90.0,0.49743867,0.24977498,0.03368694,0.30188495,30.0,29.026373,4.6508985,1.218352,0.06946937,840.5355,726.2231,94.86833,0.27361563,-0.017208017,0.266983,26.95243370940446,38.48382595095073
1_1094_0,1,472.0,18.0,220.0,0.6817304,0.5707071,0.35540104,0.48996928,30.0,29.3936,3.508863,1.2744759,0.1005764,11107.174,1871.096,1991.1052,0.29088277,0.2868716,0.28383547,27.4194678256182,37.90468208727888
1_1095_0,1,979.0,22.0,317.0,0.58156025,0.37796086,0.1872227,0.29395363,10.0,26.514551,3.3673291,3.335489,0.12678504,18353.725,1678.3921,912.41437,0.50872487,0.3022178,0.075743064,27.429978114442406,38.536377395071725
1_1097_0,1,117.0,17.0,152.0,0.48390558,0.36323315,0.1359343,0.31258667,30.0,28.963984,6.241103,1.2821177,0.08765777,2751.1816,510.0,403.60873,0.1102788,-0.27480298,0.63803613,26.86350049627663,38.12890158219511
1_1098_0,1,64.0,6.0,90.0,0.65045285,0.3820225,0.13809857,0.3549072,10.0,28.033585,6.629438,1.1935197,0.12310767,394.58838,902.4965,1358.3077,0.6149805,0.30244637,0.07957612,26.779418185683056,38.20705501191351
1_1102_0,1,225.0,9.0,299.0,0.24852942,0.1279894,0.05161025,0.19388145,10.0,29.876532,3.6942215,1.7019627,0.11131684,1236.9316,366.19666,735.45905,0.1550718,0.07914874,0.048840657,27.26962883622707,37.83030158175378
1_1106_0,1,178.0,7.0,331.0,0.62126356,0.40900367,0.1877566,0.35027575,10.0,29.172134,3.6978068,1.5324684,0.12478447,4962.62,30.0,210.0,0.3194823,-0.12865497,0.53765863,27.22435374590745,38.29733569796752
1_1107_0,1,381.0,19.0,139.0,0.65457183,0.41985303,0.19810824,0.41112122,20.0,25.80458,9.37214,0.0,0.09962424,2771.8767,1484.9242,1179.5762,0.60749257,0.3639976,0.05585543,26.541454466919788,38.31377486766691
